Invalid_Sched_for_Table: 1,Invalid_Sched_for_Table: 2,Invalid_Sched_for_Table: 3,Invalid_Sched_for_Table: 4,Invalid_Sched_for_Table: 5,Invalid_Sched_for_Table: 6,Invalid_Sched_for_Table: 7,Invalid_Sched_for_Table: 8,Invalid_Sched_for_Table: 9,Invalid_Sched_for_Table: 10,Invalid_Sched_for_Table: 11,Invalid_Sched_for_Table: 12,Invalid_Sched_for_Table: 13,Invalid_Sched_for_Table: 14,Invalid_Sched_for_Table: 15,Invalid_Sched_for_Table: 16,Invalid_Sched_for_Table: 17,Invalid_Sched_for_Table: 18,Invalid_Sched_for_Table: 19,Invalid_Sched_for_Table: 20,Invalid_Sched_for_Table: 21,Invalid_Sched_for_Table: 22,Invalid_Sched_for_Table: 23,Invalid_Sched_for_Table: 24,Invalid_Sched_for_Table: 25,Invalid_Sched_for_Table: 26,Invalid_Sched_for_Table: 27,Invalid_Sched_for_Table: 28,Invalid_Sched_for_Table: 29,Invalid_Sched_for_Table: 30,Invalid_Sched_for_Table: 31,Invalid_Sched_for_Table: 32,Invalid_Sched_for_Table: 33,Invalid_Sched_for_Table: 34,Invalid_Sched_for_Table: 35,Invalid_Sched_for_Table: 36,Invalid_Sched_for_Table: 37,Invalid_Sched_for_Table: 38,Invalid_Sched_for_Table: 39,Invalid_Sched_for_Table: 40,Invalid_Sched_for_Table: 41,Invalid_Sched_for_Table: 42,Invalid_Sched_for_Table: 43,Invalid_Sched_for_Table: 44,Invalid_Sched_for_Table: 45,Invalid_Sched_for_Table: 46,Invalid_Sched_for_Table: 47,Invalid_Sched_for_Table: 48,Invalid_Sched_for_Table: 49,Invalid_Sched_for_Table: 50,Invalid_Sched_for_Table: 51,Invalid_Sched_for_Table: 52,Invalid_Sched_for_Table: 53,Invalid_Sched_for_Table: 54,Invalid_Sched_for_Table: 55,Invalid_Sched_for_Table: 56,Invalid_Sched_for_Table: 57,Invalid_Sched_for_Table: 58,Invalid_Sched_for_Table: 59,Invalid_Sched_for_Table: 60,Invalid_Sched_for_Table: 61,Invalid_Sched_for_Table: 62,Invalid_Sched_for_Table: 63,Invalid_Sched_for_Table: 64,Invalid_Sched_for_Table: 65,Invalid_Sched_for_Table: 66,Invalid_Sched_for_Table: 67,Invalid_Sched_for_Table: 68,Invalid_Sched_for_Table: 69,Invalid_Sched_for_Table: 70,Invalid_Sched_for_Table: 71,Invalid_Sched_for_Table: 72,Invalid_Sched_for_Table: 73,Invalid_Sched_for_Table: 74,Invalid_Sched_for_Table: 75,Invalid_Sched_for_Table: 76,Invalid_Sched_for_Table: 77,Invalid_Sched_for_Table: 78,Invalid_Sched_for_Table: 79,Invalid_Sched_for_Table: 80,Invalid_Sched_for_Table: 81,Invalid_Sched_for_Table: 82,Invalid_Sched_for_Table: 83,Invalid_Sched_for_Table: 84,Invalid_Sched_for_Table: 85,Invalid_Sched_for_Table: 86,Invalid_Sched_for_Table: 87,Invalid_Sched_for_Table: 88,Invalid_Sched_for_Table: 89,Invalid_Sched_for_Table: 90,Invalid_Sched_for_Table: 91,Invalid_Sched_for_Table: 92,Invalid_Sched_for_Table: 93,Invalid_Sched_for_Table: 94,Invalid_Sched_for_Table: 95,Invalid_Sched_for_Table: 96,Invalid_Sched_for_Table: 97,Invalid_Sched_for_Table: 98,Invalid_Sched_for_Table: 99,Invalid_Sched_for_Table: 100
,,,,,,,,,,,,,SAT 700,SAT 700,SAT 700,SAT 700,SAT 700,SAT 700,SAT 700,SAT 700,SAT 700,SAT 700,SAT 700,,SAT 100,SAT 100,SAT 100,SAT 100,SAT 100,SAT 100,SAT 100,SAT 100,SAT 100,SAT 100,,,,,,,,,,,,,,,,,,,,,,,,,FRI 345,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 715,SAT 715,SAT 715,SAT 715,SAT 715,SAT 715,SAT 715,SAT 715,SAT 715,SAT 715,SAT 715,,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,SAT 115,,,,,,,,,,,,,,,,,,,,,,,,,FRI 400,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 730,SAT 730,SAT 730,SAT 730,SAT 730,SAT 730,SAT 730,SAT 730,SAT 730,SAT 730,SAT 730,,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,SAT 130,,,,,,,,,,,,,,,,,,,,,,,,,FRI 415,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,SAT 145,,,,,,,,,,,,,,,,,,,,,,,,,FRI 430,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,SAT 200,,,,,,,,,,,,,,,,,,,,,,,,,FRI 445,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 815,SAT 815,SAT 815,SAT 815,SAT 815,SAT 815,SAT 815,SAT 815,SAT 815,SAT 815,SAT 815,,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,SAT 215,,,,,,,,,,,,,,,,,,,,,,,,,FRI 500,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 830,SAT 830,SAT 830,SAT 830,SAT 830,SAT 830,SAT 830,SAT 830,SAT 830,SAT 830,SAT 830,,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,SAT 230,,,,,,,,,,,,,,,,,,,,,,,,,FRI 515,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 845,SAT 845,SAT 845,SAT 845,SAT 845,SAT 845,SAT 845,SAT 845,SAT 845,SAT 845,SAT 845,,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,SAT 245,,,,,,,,,,,,,,,,,,,,,,,,,FRI 530,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,SAT 300,,,,,,,,,,,,,,,,,,,,,,,,,FRI 545,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,SAT 315,,,,,,,,,,,,,,,,,,,,,,,,,FRI 600,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,SAT 330,,,,,,,,,,,,,,,,,,,,,,,,,FRI 915,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,SAT 345,,,,,,,,,,,,,,,,,,,,,,,,,FRI 930,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1000,SAT 1000,SAT 1000,SAT 1000,SAT 1000,SAT 1000,SAT 1000,SAT 1000,SAT 1000,SAT 1000,SAT 1000,,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,SAT 400,,,,,,,,,,,,,,,,,,,,,,,,,FRI 945,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1015,SAT 1015,SAT 1015,SAT 1015,SAT 1015,SAT 1015,SAT 1015,SAT 1015,SAT 1015,SAT 1015,SAT 1015,,SAT 415,SAT 415,SAT 415,SAT 415,SAT 415,SAT 415,SAT 415,SAT 415,SAT 415,SAT 415,,,,,,,,,,,,,,,,,,,,,,,,,SAT 230,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,THURS 345,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1030,SAT 1030,SAT 1030,SAT 1030,SAT 1030,SAT 1030,SAT 1030,SAT 1030,SAT 1030,SAT 1030,SAT 1030,,SAT 430,SAT 430,SAT 430,SAT 430,SAT 430,SAT 430,SAT 430,SAT 430,SAT 430,SAT 430,,,,,,,,,,,,,,,,,,,,,,,,,SAT 245,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,THURS 400,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1045,SAT 1045,SAT 1045,SAT 1045,SAT 1045,SAT 1045,SAT 1045,SAT 1045,SAT 1045,SAT 1045,SAT 1045,,SAT 445,SAT 445,SAT 445,SAT 445,SAT 445,SAT 445,SAT 445,SAT 445,SAT 445,SAT 445,,,,,,,,,,,,,,,,,,,,,,,,,SAT 300,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,THURS 415,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1100,SAT 1100,SAT 1100,SAT 1100,SAT 1100,SAT 1100,SAT 1100,SAT 1100,SAT 1100,SAT 1100,SAT 1100,,SAT 500,SAT 500,SAT 500,SAT 500,SAT 500,SAT 500,SAT 500,SAT 500,SAT 500,SAT 500,,,,,,,,,,,,,,,,,,,,,,,,,SAT 315,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,THURS 430,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1115,SAT 1115,SAT 1115,SAT 1115,SAT 1115,SAT 1115,SAT 1115,SAT 1115,SAT 1115,SAT 1115,SAT 1115,,SAT 515,SAT 515,SAT 515,SAT 515,SAT 515,SAT 515,SAT 515,SAT 515,SAT 515,SAT 515,,,,,,,,,,,,,,,,,,,,,,,,,SAT 330,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,THURS 445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1130,SAT 1130,SAT 1130,SAT 1130,SAT 1130,SAT 1130,SAT 1130,SAT 1130,SAT 1130,SAT 1130,SAT 1130,,SAT 530,SAT 530,SAT 530,SAT 530,SAT 530,SAT 530,SAT 530,SAT 530,SAT 530,SAT 530,,,,,,,,,,,,,,,,,,,,,,,,,SAT 345,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,THURS 500,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1145,SAT 1145,SAT 1145,SAT 1145,SAT 1145,SAT 1145,SAT 1145,SAT 1145,SAT 1145,SAT 1145,SAT 1145,,SAT 545,SAT 545,SAT 545,SAT 545,SAT 545,SAT 545,SAT 545,SAT 545,SAT 545,SAT 545,,,,,,,,,,,,,,,,,,,,,,,,,SAT 400,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,THURS 515,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,SAT 1200,,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,,,,,,,,,,,,,,,,,,,,,,,,,SAT 415,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,THURS 530,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 430,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,THURS 545,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 445,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 500,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 515,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 530,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 545,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 600,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 615,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 915,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 930,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT 945,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,,,,,,,,,,,,,,,,,
